pair_weight,stage_temperature,pair_temperature,exact_match,MRR,top3_accuracy,stage_accuracy,pairwise_head_accuracy
0.0,0.8,0.8,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,0.8,1.0,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,0.8,1.2,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,0.8,1.5,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.0,0.8,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.0,1.0,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.0,1.2,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.0,1.5,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.2,0.8,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.2,1.0,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.2,1.2,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.2,1.5,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.5,0.8,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.5,1.0,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.5,1.2,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.0,1.5,1.5,0.5055944323539734,0.6238721784828777,0.6860139966011047,0.6472027897834778,0.8033799529075623
0.1,0.8,0.8,0.5041958093643188,0.6238066847095806,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.1,0.8,1.0,0.5027971863746643,0.622622301809746,0.6846153736114502,0.6472027897834778,0.8033799529075623
0.1,0.8,1.2,0.5041958093643188,0.6230981045210753,0.6839160919189453,0.6472027897834778,0.8033799529075623
0.1,0.8,1.5,0.5041958093643188,0.6231392131700176,0.6839160919189453,0.6472027897834778,0.8033799529075623
0.1,1.0,0.8,0.5027971863746643,0.6232464105348365,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.1,1.0,1.0,0.5041958093643188,0.6238066847095806,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.1,1.0,1.2,0.503496527671814,0.6230515947390389,0.6846153736114502,0.6472027897834778,0.8033799529075623
0.1,1.0,1.5,0.5041958093643188,0.6230981045210753,0.6839160919189453,0.6472027897834778,0.8033799529075623
0.1,1.2,0.8,0.5020979046821594,0.6231709764620763,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.1,1.2,1.0,0.5027971863746643,0.6232283982440969,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.1,1.2,1.2,0.5041958093643188,0.6238066847095806,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.1,1.2,1.5,0.5027971863746643,0.622622301809746,0.6846153736114502,0.6472027897834778,0.8033799529075623
0.1,1.5,0.8,0.5020979046821594,0.6228418255700643,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.1,1.5,1.0,0.5020979046821594,0.6231709764620763,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.1,1.5,1.2,0.5027971863746643,0.6232464105348365,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.1,1.5,1.5,0.5041958093643188,0.6238066847095806,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,0.8,0.8,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.2,0.8,1.0,0.5027971863746643,0.6235249280660279,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,0.8,1.2,0.5027971863746643,0.6232151209231274,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,0.8,1.5,0.5041958093643188,0.6238045374784124,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,1.0,0.8,0.5027971863746643,0.623393607133261,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.2,1.0,1.0,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.2,1.0,1.2,0.5027971863746643,0.6233458394778484,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,1.0,1.5,0.5027971863746643,0.6232151209231274,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,1.2,0.8,0.503496527671814,0.6237403724289647,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.2,1.2,1.0,0.5027971863746643,0.6233926383936044,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.2,1.2,1.2,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.2,1.2,1.5,0.5027971863746643,0.6235249280660279,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.2,1.5,0.8,0.503496527671814,0.6237807838657314,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.2,1.5,1.0,0.503496527671814,0.6237403724289647,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.2,1.5,1.2,0.5027971863746643,0.623393607133261,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.2,1.5,1.5,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,0.8,0.8,0.503496527671814,0.6237403724289647,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,0.8,1.0,0.5027971863746643,0.6233926383936044,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,0.8,1.2,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,0.8,1.5,0.5027971863746643,0.6235249280660279,0.6867132782936096,0.6472027897834778,0.8033799529075623
0.3,1.0,0.8,0.503496527671814,0.6237807838657314,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,1.0,1.0,0.503496527671814,0.6237403724289647,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.0,1.2,0.5027971863746643,0.623393607133261,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.0,1.5,0.5027971863746643,0.6232192104229737,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,1.2,0.8,0.5020979046821594,0.6234647656606972,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.2,1.0,0.503496527671814,0.6237903941384996,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,1.2,1.2,0.503496527671814,0.6237403724289647,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.2,1.5,0.5027971863746643,0.6233926383936044,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.5,0.8,0.503496527671814,0.624417403390046,0.6895104646682739,0.6472027897834778,0.8033799529075623
0.3,1.5,1.0,0.5020979046821594,0.6234647656606972,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.3,1.5,1.2,0.503496527671814,0.6237807838657314,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.3,1.5,1.5,0.5027971863746643,0.6233907220793145,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.4,0.8,0.8,0.5027971863746643,0.623571088385977,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,0.8,1.0,0.503496527671814,0.623705203349678,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.4,0.8,1.2,0.5027971863746643,0.6234604090703569,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.4,0.8,1.5,0.5027971863746643,0.6232154993847089,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.4,1.0,0.8,0.5020979046821594,0.6233917340129834,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.4,1.0,1.0,0.503496527671814,0.6239207387356274,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,1.0,1.2,0.503496527671814,0.6236851981024001,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.4,1.0,1.5,0.5027971863746643,0.6234604090703569,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.4,1.2,0.8,0.5041958093643188,0.624733035023838,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,1.2,1.0,0.5020979046821594,0.6234660943324344,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.4,1.2,1.2,0.503496527671814,0.6239207387356274,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,1.2,1.5,0.503496527671814,0.623705203349678,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.4,1.5,0.8,0.5027971863746643,0.6239009661545801,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.4,1.5,1.0,0.5041958093643188,0.624733035023838,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,1.5,1.2,0.5027971863746643,0.6237996594209089,0.688811182975769,0.6472027897834778,0.8033799529075623
0.4,1.5,1.5,0.5027971863746643,0.623571088385977,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,0.8,0.8,0.5027971863746643,0.6237413843626338,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.5,0.8,1.0,0.503496527671814,0.6239207387356274,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,0.8,1.2,0.503496527671814,0.6236851981024001,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.5,0.8,1.5,0.5027971863746643,0.6234604090703569,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.5,1.0,0.8,0.5041958093643188,0.6246060605490376,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,1.0,1.0,0.5027971863746643,0.6237413843626338,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.5,1.0,1.2,0.5027971863746643,0.6238091638809695,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.5,1.0,1.5,0.503496527671814,0.6236851981024001,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.5,1.2,0.8,0.503496527671814,0.6242506165042304,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.5,1.2,1.0,0.5041958093643188,0.624733035023838,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,1.2,1.2,0.5027971863746643,0.6237413843626338,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.5,1.2,1.5,0.503496527671814,0.6239207387356274,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,1.5,0.8,0.5083916187286377,0.6266686351185566,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.5,1.5,1.0,0.503496527671814,0.6242506165042304,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.5,1.5,1.2,0.5041958093643188,0.6246060605490376,0.688811182975769,0.6472027897834778,0.8033799529075623
0.5,1.5,1.5,0.5027971863746643,0.6237413843626338,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.7,0.8,0.8,0.5041958093643188,0.6247230040708501,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,0.8,1.0,0.503496527671814,0.624417403390046,0.6895104646682739,0.6472027897834778,0.8033799529075623
0.7,0.8,1.2,0.5020979046821594,0.6234532445477775,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.7,0.8,1.5,0.503496527671814,0.6237807838657314,0.6874125599861145,0.6472027897834778,0.8033799529075623
0.7,1.0,0.8,0.5069929957389832,0.626042750789859,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.7,1.0,1.0,0.5041958093643188,0.6247230040708501,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,1.0,1.2,0.503496527671814,0.6244333541718071,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,1.0,1.5,0.5020979046821594,0.6234532445477775,0.6881119012832642,0.6472027897834778,0.8033799529075623
0.7,1.2,0.8,0.5083916187286377,0.626703092820928,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,1.2,1.0,0.5062937140464783,0.6258830513627746,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.7,1.2,1.2,0.5041958093643188,0.6247230040708501,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,1.2,1.5,0.503496527671814,0.624417403390046,0.6895104646682739,0.6472027897834778,0.8033799529075623
0.7,1.5,0.8,0.5062937140464783,0.625063495880983,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.7,1.5,1.0,0.5083916187286377,0.626703092820928,0.6902098059654236,0.6472027897834778,0.8033799529075623
0.7,1.5,1.2,0.5069929957389832,0.626042750789859,0.6909090876579285,0.6472027897834778,0.8033799529075623
0.7,1.5,1.5,0.5041958093643188,0.6247230040708501,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,0.8,0.8,0.5083916187286377,0.6265226598232386,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,0.8,1.0,0.5048950910568237,0.625129140692856,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,0.8,1.2,0.5041958093643188,0.6249215121942595,0.6909090876579285,0.6472027897834778,0.8033799529075623
1.0,0.8,1.5,0.5020979046821594,0.6237288043460485,0.6895104646682739,0.6472027897834778,0.8033799529075623
1.0,1.0,0.8,0.5076923370361328,0.6256732115344049,0.6916083693504333,0.6472027897834778,0.8033799529075623
1.0,1.0,1.0,0.5090909004211426,0.626872310172889,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,1.0,1.2,0.5062937140464783,0.6258894086418592,0.6909090876579285,0.6472027897834778,0.8033799529075623
1.0,1.0,1.5,0.503496527671814,0.6245135867863341,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,1.2,0.8,0.5097901821136475,0.6261797117329749,0.688811182975769,0.6472027897834778,0.8033799529075623
1.0,1.2,1.0,0.5090909004211426,0.6266494637419192,0.692307710647583,0.6472027897834778,0.8033799529075623
1.0,1.2,1.2,0.5090909004211426,0.626872310172889,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,1.2,1.5,0.5048950910568237,0.625129140692856,0.6902098059654236,0.6472027897834778,0.8033799529075623
1.0,1.5,0.8,0.511188805103302,0.6262839218296287,0.6860139966011047,0.6472027897834778,0.8033799529075623
1.0,1.5,1.0,0.5097901821136475,0.6261797117329749,0.688811182975769,0.6472027897834778,0.8033799529075623
1.0,1.5,1.2,0.5076923370361328,0.6256965215577149,0.6916083693504333,0.6472027897834778,0.8033799529075623
1.0,1.5,1.5,0.5083916187286377,0.6265226598232386,0.6902098059654236,0.6472027897834778,0.8033799529075623
